"Time","20.118.208.91:9100 eth0 rx","20.118.208.91:9100 eth0 tx"
2026-06-03 03:29:45,36.8 p/s,34.9 p/s
2026-06-03 03:30:00,37.6 p/s,35.6 p/s
2026-06-03 03:30:15,37.7 p/s,35.7 p/s
2026-06-03 03:30:30,39.1 p/s,37.0 p/s
2026-06-03 03:30:45,38.7 p/s,36.6 p/s
2026-06-03 03:31:00,38.4 p/s,36.2 p/s
2026-06-03 03:31:15,37.4 p/s,35.2 p/s
2026-06-03 03:31:30,36.9 p/s,34.8 p/s
2026-06-03 03:31:45,36.8 p/s,34.6 p/s
2026-06-03 03:32:00,37.1 p/s,35.0 p/s
2026-06-03 03:32:15,38.2 p/s,35.8 p/s
2026-06-03 03:32:30,37.6 p/s,35.4 p/s
2026-06-03 03:32:45,37.9 p/s,35.8 p/s
2026-06-03 03:33:00,38.0 p/s,35.9 p/s
2026-06-03 03:33:15,38.1 p/s,36.0 p/s
2026-06-03 03:33:30,39.4 p/s,37.2 p/s
2026-06-03 03:33:45,39.9 p/s,37.7 p/s
2026-06-03 03:34:00,39.7 p/s,37.5 p/s
2026-06-03 03:34:15,39.2 p/s,37.1 p/s
2026-06-03 03:34:30,39.1 p/s,37.0 p/s
2026-06-03 03:34:45,38.0 p/s,36.0 p/s
2026-06-03 03:35:00,37.9 p/s,36.0 p/s
2026-06-03 03:35:15,37.9 p/s,36.0 p/s
2026-06-03 03:35:30,37.7 p/s,35.9 p/s
2026-06-03 03:35:45,37.7 p/s,35.8 p/s
2026-06-03 03:36:00,38.3 p/s,36.5 p/s
2026-06-03 03:36:15,39.6 p/s,37.8 p/s
2026-06-03 03:36:30,40.6 p/s,38.7 p/s
2026-06-03 03:36:45,41.9 p/s,39.9 p/s
2026-06-03 03:37:00,42.1 p/s,40.1 p/s
2026-06-03 03:37:15,42.6 p/s,40.6 p/s
2026-06-03 03:37:30,42.6 p/s,40.6 p/s
2026-06-03 03:37:45,42.6 p/s,40.5 p/s
2026-06-03 03:38:00,43.2 p/s,41.2 p/s
2026-06-03 03:38:15,43.2 p/s,41.2 p/s
2026-06-03 03:38:30,43.2 p/s,41.2 p/s
2026-06-03 03:38:45,43.4 p/s,41.4 p/s
2026-06-03 03:39:00,44.5 p/s,42.4 p/s
2026-06-03 03:39:15,44.7 p/s,42.5 p/s
2026-06-03 03:39:30,45.6 p/s,43.4 p/s
2026-06-03 03:39:45,45.6 p/s,43.3 p/s
2026-06-03 03:40:00,45.3 p/s,43.1 p/s
2026-06-03 03:40:15,46.0 p/s,43.7 p/s
2026-06-03 03:40:30,46.6 p/s,44.3 p/s
2026-06-03 03:40:45,46.6 p/s,44.3 p/s
2026-06-03 03:41:00,46.6 p/s,44.2 p/s
2026-06-03 03:41:15,45.7 p/s,43.4 p/s
2026-06-03 03:41:30,45.8 p/s,43.5 p/s
2026-06-03 03:41:45,45.9 p/s,43.5 p/s
2026-06-03 03:42:00,45.8 p/s,43.5 p/s
2026-06-03 03:42:15,45.8 p/s,43.4 p/s
2026-06-03 03:42:30,45.8 p/s,43.4 p/s
2026-06-03 03:42:45,45.7 p/s,43.3 p/s
2026-06-03 03:43:00,45.7 p/s,43.2 p/s
2026-06-03 03:43:15,45.8 p/s,43.3 p/s
2026-06-03 03:43:30,45.7 p/s,43.3 p/s
2026-06-03 03:43:45,45.6 p/s,43.1 p/s
2026-06-03 03:44:00,45.2 p/s,42.7 p/s
2026-06-03 03:44:15,45.1 p/s,42.6 p/s
2026-06-03 03:44:30,44.9 p/s,42.5 p/s
2026-06-03 03:44:45,44.3 p/s,41.9 p/s
2026-06-03 03:45:00,43.6 p/s,41.2 p/s
2026-06-03 03:45:15,42.8 p/s,40.5 p/s
2026-06-03 03:45:30,42.5 p/s,40.1 p/s
2026-06-03 03:45:45,42.5 p/s,40.1 p/s
2026-06-03 03:46:00,43.4 p/s,41.0 p/s
2026-06-03 03:46:15,43.5 p/s,41.0 p/s
2026-06-03 03:46:30,43.5 p/s,41.1 p/s
2026-06-03 03:46:45,43.6 p/s,41.2 p/s
2026-06-03 03:47:00,43.8 p/s,41.3 p/s
2026-06-03 03:47:15,43.8 p/s,41.4 p/s
2026-06-03 03:47:30,43.9 p/s,41.5 p/s
2026-06-03 03:47:45,43.4 p/s,41.0 p/s
2026-06-03 03:48:00,43.3 p/s,40.9 p/s
2026-06-03 03:48:15,43.3 p/s,40.9 p/s
2026-06-03 03:48:30,43.3 p/s,41.0 p/s
2026-06-03 03:48:45,43.5 p/s,41.2 p/s
2026-06-03 03:49:00,43.1 p/s,40.8 p/s
2026-06-03 03:49:15,42.9 p/s,40.7 p/s
2026-06-03 03:49:30,43.1 p/s,40.9 p/s
2026-06-03 03:49:45,43.4 p/s,41.1 p/s
2026-06-03 03:50:00,44.4 p/s,42.0 p/s
2026-06-03 03:50:15,44.7 p/s,42.3 p/s
2026-06-03 03:50:30,43.9 p/s,41.7 p/s
2026-06-03 03:50:45,43.9 p/s,41.7 p/s
2026-06-03 03:51:00,43.3 p/s,41.2 p/s
