"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-05-03 19:24:20,3.12 GB/s
2026-05-03 19:24:40,3.12 GB/s
2026-05-03 19:25:00,3.07 GB/s
2026-05-03 19:25:20,3.01 GB/s
2026-05-03 19:25:40,3.01 GB/s
2026-05-03 19:26:00,3.13 GB/s
2026-05-03 19:26:20,3.00 GB/s
2026-05-03 19:26:40,3.00 GB/s
2026-05-03 19:27:00,3.07 GB/s
2026-05-03 19:27:20,3.02 GB/s
2026-05-03 19:27:40,3.02 GB/s
2026-05-03 19:28:00,3.00 GB/s
2026-05-03 19:28:20,3.15 GB/s
2026-05-03 19:28:40,3.15 GB/s
2026-05-03 19:29:00,3.00 GB/s
2026-05-03 19:29:20,3.08 GB/s
2026-05-03 19:29:40,3.08 GB/s
2026-05-03 19:30:00,3.02 GB/s
2026-05-03 19:30:20,2.99 GB/s
2026-05-03 19:30:40,2.99 GB/s
2026-05-03 19:31:00,3.17 GB/s
2026-05-03 19:31:20,3.00 GB/s
2026-05-03 19:31:40,3.00 GB/s
2026-05-03 19:32:00,3.07 GB/s
2026-05-03 19:32:20,3.02 GB/s
2026-05-03 19:32:40,3.02 GB/s
2026-05-03 19:33:00,3.00 GB/s
2026-05-03 19:33:20,3.15 GB/s
2026-05-03 19:33:40,3.15 GB/s
2026-05-03 19:34:00,3.01 GB/s
2026-05-03 19:34:20,3.03 GB/s
2026-05-03 19:34:40,3.03 GB/s
2026-05-03 19:35:00,3.06 GB/s
2026-05-03 19:35:20,3.01 GB/s
2026-05-03 19:35:40,3.01 GB/s
2026-05-03 19:36:00,3.14 GB/s
2026-05-03 19:36:20,3.04 GB/s
2026-05-03 19:36:40,3.04 GB/s
2026-05-03 19:37:00,3.06 GB/s
2026-05-03 19:37:20,3.04 GB/s
2026-05-03 19:37:40,3.04 GB/s
2026-05-03 19:38:00,2.98 GB/s
2026-05-03 19:38:20,3.16 GB/s
2026-05-03 19:38:40,3.16 GB/s
2026-05-03 19:39:00,2.99 GB/s
2026-05-03 19:39:20,3.03 GB/s
2026-05-03 19:39:40,3.03 GB/s
2026-05-03 19:40:00,3.05 GB/s
2026-05-03 19:40:20,2.98 GB/s
2026-05-03 19:40:40,2.98 GB/s
2026-05-03 19:41:00,3.14 GB/s
2026-05-03 19:41:20,2.98 GB/s
2026-05-03 19:41:40,2.98 GB/s
2026-05-03 19:42:00,3.04 GB/s
2026-05-03 19:42:20,3.09 GB/s
2026-05-03 19:42:40,3.09 GB/s
2026-05-03 19:43:00,3.00 GB/s
2026-05-03 19:43:20,3.11 GB/s
2026-05-03 19:43:40,3.11 GB/s
2026-05-03 19:44:00,3.01 GB/s
