"Time","172.212.226.225:9100 eth0 rx"
2026-05-03 18:49:40,76.4 kp/s
2026-05-03 18:50:00,76.4 kp/s
2026-05-03 18:50:20,76.4 kp/s
2026-05-03 18:50:40,76.4 kp/s
2026-05-03 18:51:00,76.4 kp/s
2026-05-03 18:51:20,76.4 kp/s
2026-05-03 18:51:40,76.4 kp/s
2026-05-03 18:52:00,76.4 kp/s
2026-05-03 18:52:20,76.5 kp/s
2026-05-03 18:52:40,76.4 kp/s
2026-05-03 18:53:00,76.5 kp/s
2026-05-03 18:53:20,76.5 kp/s
2026-05-03 18:53:40,76.5 kp/s
2026-05-03 18:54:00,76.5 kp/s
2026-05-03 18:54:20,76.5 kp/s
2026-05-03 18:54:40,76.5 kp/s
2026-05-03 18:55:00,76.5 kp/s
2026-05-03 18:55:20,76.5 kp/s
2026-05-03 18:55:40,76.5 kp/s
2026-05-03 18:56:00,76.5 kp/s
2026-05-03 18:56:20,76.5 kp/s
2026-05-03 18:56:40,76.5 kp/s
2026-05-03 18:57:00,76.6 kp/s
2026-05-03 18:57:20,76.6 kp/s
2026-05-03 18:57:40,76.6 kp/s
2026-05-03 18:58:00,76.6 kp/s
2026-05-03 18:58:20,76.7 kp/s
2026-05-03 18:58:40,76.7 kp/s
2026-05-03 18:59:00,76.7 kp/s
2026-05-03 18:59:20,76.7 kp/s
2026-05-03 18:59:40,76.7 kp/s
2026-05-03 19:00:00,76.7 kp/s
2026-05-03 19:00:20,76.7 kp/s
2026-05-03 19:00:40,76.7 kp/s
2026-05-03 19:01:00,76.7 kp/s
2026-05-03 19:01:20,76.8 kp/s
2026-05-03 19:01:40,76.7 kp/s
2026-05-03 19:02:00,76.8 kp/s
2026-05-03 19:02:20,76.7 kp/s
2026-05-03 19:02:40,76.7 kp/s
2026-05-03 19:03:00,76.6 kp/s
2026-05-03 19:03:20,76.5 kp/s
2026-05-03 19:03:40,76.5 kp/s
2026-05-03 19:04:00,76.4 kp/s
2026-05-03 19:04:20,76.4 kp/s
2026-05-03 19:04:40,76.4 kp/s
2026-05-03 19:05:00,76.5 kp/s
2026-05-03 19:05:20,76.4 kp/s
2026-05-03 19:05:40,76.4 kp/s
2026-05-03 19:06:00,76.4 kp/s
2026-05-03 19:06:20,76.4 kp/s
2026-05-03 19:06:40,76.4 kp/s
2026-05-03 19:07:00,76.4 kp/s
2026-05-03 19:07:20,76.4 kp/s
2026-05-03 19:07:40,76.4 kp/s
2026-05-03 19:08:00,76.4 kp/s
2026-05-03 19:08:20,76.5 kp/s
2026-05-03 19:08:40,76.5 kp/s
2026-05-03 19:09:00,76.5 kp/s
2026-05-03 19:09:20,76.5 kp/s
2026-05-03 19:09:40,76.4 kp/s
2026-05-03 19:10:00,76.4 kp/s
2026-05-03 19:10:20,76.4 kp/s
2026-05-03 19:10:40,76.4 kp/s
2026-05-03 19:11:00,76.4 kp/s
2026-05-03 19:11:20,76.3 kp/s
2026-05-03 19:11:40,76.3 kp/s
2026-05-03 19:12:00,76.3 kp/s
2026-05-03 19:12:20,76.3 kp/s
2026-05-03 19:12:40,76.4 kp/s
2026-05-03 19:13:00,76.4 kp/s
2026-05-03 19:13:20,76.4 kp/s
2026-05-03 19:13:40,76.6 kp/s
2026-05-03 19:14:00,76.6 kp/s
2026-05-03 19:14:20,76.6 kp/s
2026-05-03 19:14:40,76.6 kp/s
2026-05-03 19:15:00,76.6 kp/s
2026-05-03 19:15:20,76.6 kp/s
2026-05-03 19:15:40,76.7 kp/s
2026-05-03 19:16:00,76.7 kp/s
2026-05-03 19:16:20,76.6 kp/s
2026-05-03 19:16:40,76.6 kp/s
2026-05-03 19:17:00,76.7 kp/s
2026-05-03 19:17:20,76.6 kp/s
2026-05-03 19:17:40,76.6 kp/s
2026-05-03 19:18:00,76.6 kp/s
2026-05-03 19:18:20,76.4 kp/s
2026-05-03 19:18:40,76.5 kp/s
2026-05-03 19:19:00,76.5 kp/s
2026-05-03 19:19:20,76.5 kp/s
2026-05-03 19:19:40,76.4 kp/s
2026-05-03 19:20:00,76.4 kp/s
2026-05-03 19:20:20,76.4 kp/s
2026-05-03 19:20:40,76.4 kp/s
2026-05-03 19:21:00,76.4 kp/s
2026-05-03 19:21:20,76.4 kp/s
2026-05-03 19:21:40,76.4 kp/s
2026-05-03 19:22:00,76.4 kp/s
2026-05-03 19:22:20,76.4 kp/s
2026-05-03 19:22:40,76.4 kp/s
2026-05-03 19:23:00,76.4 kp/s
2026-05-03 19:23:20,76.4 kp/s
2026-05-03 19:23:40,76.4 kp/s
2026-05-03 19:24:00,76.4 kp/s
2026-05-03 19:24:20,76.5 kp/s
2026-05-03 19:24:40,76.6 kp/s
2026-05-03 19:25:00,76.6 kp/s
2026-05-03 19:25:20,76.6 kp/s
2026-05-03 19:25:40,76.6 kp/s
2026-05-03 19:26:00,76.6 kp/s
2026-05-03 19:26:20,76.7 kp/s
2026-05-03 19:26:40,76.7 kp/s
2026-05-03 19:27:00,76.7 kp/s
2026-05-03 19:27:20,76.7 kp/s
2026-05-03 19:27:40,76.7 kp/s
2026-05-03 19:28:00,76.7 kp/s
2026-05-03 19:28:20,76.7 kp/s
2026-05-03 19:28:40,76.8 kp/s
2026-05-03 19:29:00,76.8 kp/s
2026-05-03 19:29:20,76.6 kp/s
2026-05-03 19:29:40,76.6 kp/s
2026-05-03 19:30:00,76.6 kp/s
2026-05-03 19:30:20,76.6 kp/s
2026-05-03 19:30:40,76.6 kp/s
2026-05-03 19:31:00,76.6 kp/s
2026-05-03 19:31:20,76.6 kp/s
2026-05-03 19:31:40,76.6 kp/s
2026-05-03 19:32:00,76.6 kp/s
2026-05-03 19:32:20,76.6 kp/s
2026-05-03 19:32:40,76.6 kp/s
2026-05-03 19:33:00,76.6 kp/s
2026-05-03 19:33:20,76.6 kp/s
2026-05-03 19:33:40,76.6 kp/s
2026-05-03 19:34:00,76.6 kp/s
2026-05-03 19:34:20,76.5 kp/s
2026-05-03 19:34:40,76.5 kp/s
2026-05-03 19:35:00,76.5 kp/s
2026-05-03 19:35:20,76.6 kp/s
2026-05-03 19:35:40,76.5 kp/s
2026-05-03 19:36:00,76.5 kp/s
2026-05-03 19:36:20,76.6 kp/s
2026-05-03 19:36:40,76.6 kp/s
2026-05-03 19:37:00,76.6 kp/s
2026-05-03 19:37:20,76.6 kp/s
2026-05-03 19:37:40,76.5 kp/s
2026-05-03 19:38:00,76.5 kp/s
2026-05-03 19:38:20,76.5 kp/s
2026-05-03 19:38:40,76.5 kp/s
2026-05-03 19:39:00,76.5 kp/s
2026-05-03 19:39:20,76.5 kp/s
2026-05-03 19:39:40,76.5 kp/s
2026-05-03 19:40:00,76.5 kp/s
2026-05-03 19:40:20,76.4 kp/s
2026-05-03 19:40:40,76.4 kp/s
2026-05-03 19:41:00,76.4 kp/s
2026-05-03 19:41:20,76.3 kp/s
2026-05-03 19:41:40,76.3 kp/s
2026-05-03 19:42:00,76.4 kp/s
2026-05-03 19:42:20,76.3 kp/s
2026-05-03 19:42:40,76.3 kp/s
2026-05-03 19:43:00,76.3 kp/s
2026-05-03 19:43:20,76.3 kp/s
2026-05-03 19:43:40,76.3 kp/s
2026-05-03 19:44:00,76.3 kp/s
2026-05-03 19:44:20,76.3 kp/s
2026-05-03 19:44:40,76.3 kp/s
2026-05-03 19:45:00,76.3 kp/s
2026-05-03 19:45:20,76.4 kp/s
2026-05-03 19:45:40,76.4 kp/s
2026-05-03 19:46:00,76.4 kp/s
2026-05-03 19:46:20,76.5 kp/s
2026-05-03 19:46:40,76.4 kp/s
2026-05-03 19:47:00,76.4 kp/s
2026-05-03 19:47:20,76.5 kp/s
2026-05-03 19:47:40,76.5 kp/s
2026-05-03 19:48:00,76.5 kp/s
2026-05-03 19:48:20,76.5 kp/s
2026-05-03 19:48:40,76.4 kp/s
2026-05-03 19:49:00,76.4 kp/s
2026-05-03 19:49:20,76.4 kp/s
2026-05-03 19:49:40,76.4 kp/s
2026-05-03 19:50:00,76.4 kp/s
2026-05-03 19:50:20,76.4 kp/s
2026-05-03 19:50:40,76.3 kp/s
2026-05-03 19:51:00,76.3 kp/s
2026-05-03 19:51:20,76.3 kp/s
2026-05-03 19:51:40,76.3 kp/s
2026-05-03 19:52:00,76.3 kp/s
2026-05-03 19:52:20,76.2 kp/s
2026-05-03 19:52:40,76.2 kp/s
2026-05-03 19:53:00,76.2 kp/s
2026-05-03 19:53:20,76.3 kp/s
2026-05-03 19:53:40,76.3 kp/s
2026-05-03 19:54:00,76.3 kp/s
2026-05-03 19:54:20,76.2 kp/s
2026-05-03 19:54:40,76.2 kp/s
2026-05-03 19:55:00,76.3 kp/s
2026-05-03 19:55:20,76.3 kp/s
2026-05-03 19:55:40,76.3 kp/s
2026-05-03 19:56:00,76.3 kp/s
2026-05-03 19:56:20,76.6 kp/s
2026-05-03 19:56:40,76.7 kp/s
2026-05-03 19:57:00,76.9 kp/s
2026-05-03 19:57:20,77.1 kp/s
2026-05-03 19:57:40,77.2 kp/s
2026-05-03 19:58:00,77.3 kp/s
2026-05-03 19:58:20,77.5 kp/s
2026-05-03 19:58:40,77.7 kp/s
2026-05-03 19:59:00,77.8 kp/s
2026-05-03 19:59:20,78.0 kp/s
2026-05-03 19:59:40,78.1 kp/s
2026-05-03 20:00:00,78.2 kp/s
2026-05-03 20:00:20,78.5 kp/s
2026-05-03 20:00:40,78.5 kp/s
2026-05-03 20:01:00,78.5 kp/s
2026-05-03 20:01:20,78.5 kp/s
2026-05-03 20:01:40,78.4 kp/s
2026-05-03 20:02:00,78.2 kp/s
2026-05-03 20:02:20,78.0 kp/s
2026-05-03 20:02:40,77.8 kp/s
2026-05-03 20:03:00,77.7 kp/s
2026-05-03 20:03:20,77.4 kp/s
2026-05-03 20:03:40,77.3 kp/s
2026-05-03 20:04:00,77.1 kp/s
2026-05-03 20:04:20,76.9 kp/s
2026-05-03 20:04:40,76.8 kp/s
2026-05-03 20:05:00,76.6 kp/s
2026-05-03 20:05:20,76.4 kp/s
2026-05-03 20:05:40,76.2 kp/s
2026-05-03 20:06:00,76.1 kp/s
2026-05-03 20:06:20,76.0 kp/s
2026-05-03 20:06:40,76.0 kp/s
2026-05-03 20:07:00,76.0 kp/s
2026-05-03 20:07:20,76.1 kp/s
2026-05-03 20:07:40,76.1 kp/s
2026-05-03 20:08:00,76.1 kp/s
2026-05-03 20:08:20,76.1 kp/s
2026-05-03 20:08:40,76.1 kp/s
2026-05-03 20:09:00,76.2 kp/s
2026-05-03 20:09:20,76.2 kp/s
2026-05-03 20:09:40,76.2 kp/s
2026-05-03 20:10:00,76.2 kp/s
2026-05-03 20:10:20,76.2 kp/s
2026-05-03 20:10:40,76.3 kp/s
2026-05-03 20:11:00,76.2 kp/s
2026-05-03 20:11:20,76.3 kp/s
2026-05-03 20:11:40,76.3 kp/s
2026-05-03 20:12:00,76.3 kp/s
2026-05-03 20:12:20,76.3 kp/s
2026-05-03 20:12:40,76.3 kp/s
2026-05-03 20:13:00,76.3 kp/s
2026-05-03 20:13:20,76.3 kp/s
2026-05-03 20:13:40,76.3 kp/s
2026-05-03 20:14:00,76.3 kp/s
2026-05-03 20:14:20,76.4 kp/s
2026-05-03 20:14:40,76.4 kp/s
2026-05-03 20:15:00,76.4 kp/s
2026-05-03 20:15:20,76.3 kp/s
2026-05-03 20:15:40,76.4 kp/s
2026-05-03 20:16:00,76.4 kp/s
2026-05-03 20:16:20,76.4 kp/s
2026-05-03 20:16:40,76.3 kp/s
2026-05-03 20:17:00,76.3 kp/s
2026-05-03 20:17:20,76.2 kp/s
2026-05-03 20:17:40,76.2 kp/s
2026-05-03 20:18:00,76.2 kp/s
2026-05-03 20:18:20,76.2 kp/s
2026-05-03 20:18:40,76.1 kp/s
2026-05-03 20:19:00,76.1 kp/s
2026-05-03 20:19:20,76.0 kp/s
2026-05-03 20:19:40,75.9 kp/s
2026-05-03 20:20:00,75.9 kp/s
2026-05-03 20:20:20,75.8 kp/s
2026-05-03 20:20:40,75.8 kp/s
2026-05-03 20:21:00,75.8 kp/s
2026-05-03 20:21:20,75.7 kp/s
2026-05-03 20:21:40,75.7 kp/s
2026-05-03 20:22:00,75.7 kp/s
2026-05-03 20:22:20,75.8 kp/s
2026-05-03 20:22:40,75.8 kp/s
2026-05-03 20:23:00,75.9 kp/s
2026-05-03 20:23:20,75.9 kp/s
2026-05-03 20:23:40,75.9 kp/s
2026-05-03 20:24:00,76.0 kp/s
2026-05-03 20:24:20,76.0 kp/s
2026-05-03 20:24:40,76.0 kp/s
2026-05-03 20:25:00,76.1 kp/s
2026-05-03 20:25:20,76.1 kp/s
2026-05-03 20:25:40,76.1 kp/s
2026-05-03 20:26:00,76.2 kp/s
2026-05-03 20:26:20,76.2 kp/s
2026-05-03 20:26:40,76.2 kp/s
2026-05-03 20:27:00,76.2 kp/s
2026-05-03 20:27:20,76.2 kp/s
2026-05-03 20:27:40,76.2 kp/s
2026-05-03 20:28:00,76.2 kp/s
2026-05-03 20:28:20,76.1 kp/s
2026-05-03 20:28:40,76.1 kp/s
2026-05-03 20:29:00,76.0 kp/s
2026-05-03 20:29:20,76.0 kp/s
2026-05-03 20:29:40,76.0 kp/s
2026-05-03 20:30:00,75.9 kp/s
2026-05-03 20:30:20,75.9 kp/s
2026-05-03 20:30:40,75.9 kp/s
2026-05-03 20:31:00,75.8 kp/s
2026-05-03 20:31:20,75.8 kp/s
2026-05-03 20:31:40,75.7 kp/s
2026-05-03 20:32:00,75.7 kp/s
2026-05-03 20:32:20,75.7 kp/s
2026-05-03 20:32:40,75.7 kp/s
2026-05-03 20:33:00,75.6 kp/s
2026-05-03 20:33:20,75.7 kp/s
2026-05-03 20:33:40,75.7 kp/s
2026-05-03 20:34:00,75.7 kp/s
2026-05-03 20:34:20,75.7 kp/s
2026-05-03 20:34:40,75.7 kp/s
2026-05-03 20:35:00,75.7 kp/s
2026-05-03 20:35:20,75.6 kp/s
2026-05-03 20:35:40,75.6 kp/s
2026-05-03 20:36:00,75.6 kp/s
2026-05-03 20:36:20,75.5 kp/s
2026-05-03 20:36:40,75.5 kp/s
2026-05-03 20:37:00,75.5 kp/s
2026-05-03 20:37:20,75.5 kp/s
2026-05-03 20:37:40,75.5 kp/s
2026-05-03 20:38:00,75.6 kp/s
2026-05-03 20:38:20,75.5 kp/s
2026-05-03 20:38:40,75.5 kp/s
2026-05-03 20:39:00,75.5 kp/s
2026-05-03 20:39:20,75.5 kp/s
2026-05-03 20:39:40,75.5 kp/s
2026-05-03 20:40:00,75.5 kp/s
2026-05-03 20:40:20,75.6 kp/s
2026-05-03 20:40:40,75.6 kp/s
2026-05-03 20:41:00,75.6 kp/s
2026-05-03 20:41:20,75.7 kp/s
2026-05-03 20:41:40,75.7 kp/s
2026-05-03 20:42:00,75.7 kp/s
2026-05-03 20:42:20,75.7 kp/s
2026-05-03 20:42:40,75.7 kp/s
2026-05-03 20:43:00,75.7 kp/s
2026-05-03 20:43:20,75.6 kp/s
2026-05-03 20:43:40,75.6 kp/s
2026-05-03 20:44:00,75.7 kp/s
