"Time","{instance=""172.212.226.225:9100"", transport=""ethernet""}"
2026-05-03 20:58:40,23.0 TB
2026-05-03 20:59:00,23.1 TB
2026-05-03 20:59:20,23.1 TB
2026-05-03 20:59:40,23.2 TB
2026-05-03 21:00:00,23.2 TB
2026-05-03 21:00:20,23.2 TB
2026-05-03 21:00:40,23.3 TB
2026-05-03 21:01:00,23.3 TB
2026-05-03 21:01:20,23.4 TB
2026-05-03 21:01:40,23.4 TB
2026-05-03 21:02:00,23.4 TB
2026-05-03 21:02:20,23.5 TB
2026-05-03 21:02:40,23.5 TB
2026-05-03 21:03:00,23.6 TB
2026-05-03 21:03:20,23.6 TB
2026-05-03 21:03:40,23.7 TB
2026-05-03 21:04:00,23.7 TB
2026-05-03 21:04:20,23.8 TB
2026-05-03 21:04:40,23.8 TB
2026-05-03 21:05:00,23.8 TB
2026-05-03 21:05:20,23.9 TB
2026-05-03 21:05:40,23.9 TB
2026-05-03 21:06:00,23.9 TB
2026-05-03 21:06:20,24.0 TB
2026-05-03 21:06:40,24.0 TB
2026-05-03 21:07:00,24.1 TB
2026-05-03 21:07:20,24.1 TB
2026-05-03 21:07:40,24.2 TB
2026-05-03 21:08:00,24.2 TB
2026-05-03 21:08:20,24.3 TB
2026-05-03 21:08:40,24.3 TB
2026-05-03 21:09:00,24.3 TB
2026-05-03 21:09:20,24.4 TB
2026-05-03 21:09:40,24.4 TB
2026-05-03 21:10:00,24.4 TB
2026-05-03 21:10:20,24.5 TB
2026-05-03 21:10:40,24.5 TB
2026-05-03 21:11:00,24.6 TB
2026-05-03 21:11:20,24.6 TB
2026-05-03 21:11:40,24.7 TB
2026-05-03 21:12:00,24.7 TB
2026-05-03 21:12:20,24.8 TB
2026-05-03 21:12:40,24.8 TB
2026-05-03 21:13:00,24.8 TB
2026-05-03 21:13:20,24.9 TB
2026-05-03 21:13:40,24.9 TB
2026-05-03 21:14:00,25.0 TB
2026-05-03 21:14:20,25.0 TB
2026-05-03 21:14:40,25.0 TB
2026-05-03 21:15:00,25.1 TB
2026-05-03 21:15:20,25.1 TB
2026-05-03 21:15:40,25.2 TB
2026-05-03 21:16:00,25.2 TB
2026-05-03 21:16:20,25.3 TB
2026-05-03 21:16:40,25.3 TB
2026-05-03 21:17:00,25.3 TB
2026-05-03 21:17:20,25.4 TB
2026-05-03 21:17:40,25.4 TB
2026-05-03 21:18:00,25.5 TB
2026-05-03 21:18:20,25.5 TB
2026-05-03 21:18:40,25.6 TB
2026-05-03 21:19:00,25.6 TB
2026-05-03 21:19:20,25.6 TB
2026-05-03 21:19:40,25.7 TB
2026-05-03 21:20:00,25.7 TB
2026-05-03 21:20:20,25.8 TB
2026-05-03 21:20:40,25.8 TB
2026-05-03 21:21:00,25.8 TB
2026-05-03 21:21:20,25.9 TB
2026-05-03 21:21:40,25.9 TB
2026-05-03 21:22:00,26.0 TB
2026-05-03 21:22:20,26.0 TB
2026-05-03 21:22:40,26.1 TB
2026-05-03 21:23:00,26.1 TB
2026-05-03 21:23:20,26.2 TB
2026-05-03 21:23:40,26.2 TB
2026-05-03 21:24:00,26.2 TB
2026-05-03 21:24:20,26.3 TB
2026-05-03 21:24:40,26.3 TB
2026-05-03 21:25:00,26.3 TB
2026-05-03 21:25:20,26.4 TB
2026-05-03 21:25:40,26.4 TB
2026-05-03 21:26:00,26.5 TB
