"Time","172.212.226.225:9100direction: rx gpu_index: 0"
2026-04-27 20:57:00,2.97 GB/s
2026-04-27 20:57:15,2.97 GB/s
2026-04-27 20:57:30,2.97 GB/s
2026-04-27 20:57:45,2.97 GB/s
2026-04-27 20:58:00,2.98 GB/s
2026-04-27 20:58:15,2.98 GB/s
2026-04-27 20:58:30,3.19 GB/s
2026-04-27 20:58:45,3.19 GB/s
2026-04-27 20:59:00,3.08 GB/s
2026-04-27 20:59:15,3.08 GB/s
2026-04-27 20:59:30,2.94 GB/s
2026-04-27 20:59:45,2.94 GB/s
2026-04-27 21:00:00,2.98 GB/s
2026-04-27 21:00:15,2.98 GB/s
2026-04-27 21:00:30,2.98 GB/s
2026-04-27 21:00:45,2.98 GB/s
2026-04-27 21:01:00,3.35 GB/s
2026-04-27 21:01:15,3.35 GB/s
2026-04-27 21:01:30,2.93 GB/s
2026-04-27 21:01:45,2.93 GB/s
2026-04-27 21:02:00,2.93 GB/s
2026-04-27 21:02:15,2.93 GB/s
2026-04-27 21:02:30,2.96 GB/s
2026-04-27 21:02:45,2.96 GB/s
2026-04-27 21:03:00,3.42 GB/s
2026-04-27 21:03:15,3.42 GB/s
2026-04-27 21:03:30,2.95 GB/s
2026-04-27 21:03:45,2.95 GB/s
2026-04-27 21:04:00,2.93 GB/s
2026-04-27 21:04:15,2.93 GB/s
2026-04-27 21:04:30,2.93 GB/s
2026-04-27 21:04:45,2.93 GB/s
2026-04-27 21:05:00,2.94 GB/s
2026-04-27 21:05:15,2.94 GB/s
2026-04-27 21:05:30,3.44 GB/s
2026-04-27 21:05:45,3.44 GB/s
2026-04-27 21:06:00,2.94 GB/s
2026-04-27 21:06:15,2.94 GB/s
2026-04-27 21:06:30,2.92 GB/s
2026-04-27 21:06:45,2.92 GB/s
2026-04-27 21:07:00,2.95 GB/s
2026-04-27 21:07:15,2.95 GB/s
2026-04-27 21:07:30,3.41 GB/s
2026-04-27 21:07:45,3.41 GB/s
2026-04-27 21:08:00,2.97 GB/s
2026-04-27 21:08:15,2.97 GB/s
2026-04-27 21:08:30,2.96 GB/s
2026-04-27 21:08:45,2.96 GB/s
2026-04-27 21:09:00,2.94 GB/s
2026-04-27 21:09:15,2.94 GB/s
2026-04-27 21:09:30,3.07 GB/s
2026-04-27 21:09:45,3.07 GB/s
2026-04-27 21:10:00,3.23 GB/s
2026-04-27 21:10:15,3.23 GB/s
2026-04-27 21:10:30,2.98 GB/s
2026-04-27 21:10:45,2.98 GB/s
2026-04-27 21:11:00,2.98 GB/s
2026-04-27 21:11:15,2.98 GB/s
2026-04-27 21:11:30,2.93 GB/s
2026-04-27 21:11:45,2.93 GB/s
2026-04-27 21:12:00,3.32 GB/s
2026-04-27 21:12:15,3.32 GB/s
2026-04-27 21:12:30,2.96 GB/s
2026-04-27 21:12:45,2.96 GB/s
2026-04-27 21:13:00,2.98 GB/s
2026-04-27 21:13:15,2.98 GB/s
2026-04-27 21:13:30,2.98 GB/s
2026-04-27 21:13:45,2.98 GB/s
2026-04-27 21:14:00,3.22 GB/s
2026-04-27 21:14:15,3.22 GB/s
2026-04-27 21:14:30,3.06 GB/s
2026-04-27 21:14:45,3.06 GB/s
2026-04-27 21:15:00,2.93 GB/s
2026-04-27 21:15:15,2.93 GB/s
2026-04-27 21:15:30,2.96 GB/s
2026-04-27 21:15:45,2.96 GB/s
2026-04-27 21:16:00,2.97 GB/s
2026-04-27 21:16:15,2.97 GB/s
2026-04-27 21:16:30,3.38 GB/s
2026-04-27 21:16:45,3.38 GB/s
2026-04-27 21:17:00,2.94 GB/s
2026-04-27 21:17:15,2.94 GB/s
2026-04-27 21:17:30,2.93 GB/s
2026-04-27 21:17:45,2.93 GB/s
2026-04-27 21:18:00,2.94 GB/s
2026-04-27 21:18:15,2.94 GB/s
2026-04-27 21:18:30,3.48 GB/s
2026-04-27 21:18:45,3.48 GB/s
2026-04-27 21:19:00,2.93 GB/s
2026-04-27 21:19:15,2.93 GB/s
2026-04-27 21:19:30,2.93 GB/s
2026-04-27 21:19:45,2.93 GB/s
2026-04-27 21:20:00,2.93 GB/s
2026-04-27 21:20:15,2.93 GB/s
2026-04-27 21:20:30,2.97 GB/s
2026-04-27 21:20:45,2.97 GB/s
2026-04-27 21:21:00,3.42 GB/s
2026-04-27 21:21:15,3.42 GB/s
2026-04-27 21:21:30,2.94 GB/s
2026-04-27 21:21:45,2.94 GB/s
2026-04-27 21:22:00,2.93 GB/s
2026-04-27 21:22:15,2.93 GB/s
2026-04-27 21:22:30,2.93 GB/s
2026-04-27 21:22:45,2.93 GB/s
2026-04-27 21:23:00,3.38 GB/s
2026-04-27 21:23:15,3.38 GB/s
2026-04-27 21:23:30,2.98 GB/s
2026-04-27 21:23:45,2.98 GB/s
2026-04-27 21:24:00,2.98 GB/s
2026-04-27 21:24:15,2.98 GB/s
2026-04-27 21:24:30,2.96 GB/s
2026-04-27 21:24:45,2.96 GB/s
2026-04-27 21:25:00,3.11 GB/s
2026-04-27 21:25:15,3.11 GB/s
2026-04-27 21:25:30,3.18 GB/s
2026-04-27 21:25:45,3.18 GB/s
2026-04-27 21:26:00,2.97 GB/s
2026-04-27 21:26:15,2.97 GB/s
2026-04-27 21:26:30,2.98 GB/s
2026-04-27 21:26:45,2.98 GB/s
2026-04-27 21:27:00,2.99 GB/s
2026-04-27 21:27:15,2.99 GB/s
2026-04-27 21:27:30,3.32 GB/s
2026-04-27 21:27:45,3.32 GB/s
2026-04-27 21:28:00,2.93 GB/s
2026-04-27 21:28:15,2.93 GB/s
2026-04-27 21:28:30,2.95 GB/s
2026-04-27 21:28:45,2.95 GB/s
2026-04-27 21:29:00,2.98 GB/s
2026-04-27 21:29:15,2.98 GB/s
2026-04-27 21:29:30,3.36 GB/s
2026-04-27 21:29:45,3.36 GB/s
2026-04-27 21:30:00,2.98 GB/s
2026-04-27 21:30:15,2.98 GB/s
2026-04-27 21:30:30,2.93 GB/s
2026-04-27 21:30:45,2.93 GB/s
2026-04-27 21:31:00,2.93 GB/s
2026-04-27 21:31:15,2.93 GB/s
2026-04-27 21:31:30,2.95 GB/s
2026-04-27 21:31:45,2.95 GB/s
2026-04-27 21:32:00,3.45 GB/s
2026-04-27 21:32:15,3.45 GB/s
2026-04-27 21:32:30,2.93 GB/s
2026-04-27 21:32:45,2.93 GB/s
2026-04-27 21:33:00,2.95 GB/s
2026-04-27 21:33:15,2.95 GB/s
2026-04-27 21:33:30,2.95 GB/s
2026-04-27 21:33:45,2.95 GB/s
2026-04-27 21:34:00,3.44 GB/s
2026-04-27 21:34:15,3.44 GB/s
2026-04-27 21:34:30,2.97 GB/s
2026-04-27 21:34:45,2.97 GB/s
2026-04-27 21:35:00,2.93 GB/s
2026-04-27 21:35:15,2.93 GB/s
2026-04-27 21:35:30,2.94 GB/s
2026-04-27 21:35:45,2.94 GB/s
2026-04-27 21:36:00,3.06 GB/s
2026-04-27 21:36:15,3.06 GB/s
2026-04-27 21:36:30,3.27 GB/s
2026-04-27 21:36:45,3.27 GB/s
2026-04-27 21:37:00,2.98 GB/s
2026-04-27 21:37:15,2.98 GB/s
2026-04-27 21:37:30,2.96 GB/s
2026-04-27 21:37:45,2.96 GB/s
2026-04-27 21:38:00,2.93 GB/s
2026-04-27 21:38:15,2.93 GB/s
2026-04-27 21:38:30,3.30 GB/s
2026-04-27 21:38:45,3.30 GB/s
2026-04-27 21:39:00,2.98 GB/s
2026-04-27 21:39:15,2.98 GB/s
2026-04-27 21:39:30,2.98 GB/s
2026-04-27 21:39:45,2.98 GB/s
2026-04-27 21:40:00,2.99 GB/s
2026-04-27 21:40:15,2.99 GB/s
2026-04-27 21:40:30,3.15 GB/s
2026-04-27 21:40:45,3.15 GB/s
2026-04-27 21:41:00,3.08 GB/s
2026-04-27 21:41:15,3.08 GB/s
2026-04-27 21:41:30,2.97 GB/s
2026-04-27 21:41:45,2.97 GB/s
2026-04-27 21:42:00,2.99 GB/s
2026-04-27 21:42:15,2.99 GB/s
2026-04-27 21:42:30,2.97 GB/s
2026-04-27 21:42:45,2.97 GB/s
2026-04-27 21:43:00,3.35 GB/s
2026-04-27 21:43:15,3.35 GB/s
2026-04-27 21:43:30,2.93 GB/s
2026-04-27 21:43:45,2.93 GB/s
2026-04-27 21:44:00,2.92 GB/s
2026-04-27 21:44:15,2.92 GB/s
2026-04-27 21:44:30,2.96 GB/s
2026-04-27 21:44:45,2.96 GB/s
2026-04-27 21:45:00,3.36 GB/s
2026-04-27 21:45:15,3.36 GB/s
2026-04-27 21:45:30,2.97 GB/s
2026-04-27 21:45:45,2.97 GB/s
2026-04-27 21:46:00,2.94 GB/s
2026-04-27 21:46:15,2.94 GB/s
2026-04-27 21:46:30,2.91 GB/s
2026-04-27 21:46:45,2.91 GB/s
2026-04-27 21:47:00,2.94 GB/s
2026-04-27 21:47:15,2.94 GB/s
2026-04-27 21:47:30,3.44 GB/s
2026-04-27 21:47:45,3.44 GB/s
2026-04-27 21:48:00,2.92 GB/s
2026-04-27 21:48:15,2.92 GB/s
2026-04-27 21:48:30,2.93 GB/s
2026-04-27 21:48:45,2.93 GB/s
2026-04-27 21:49:00,2.93 GB/s
2026-04-27 21:49:15,2.93 GB/s
2026-04-27 21:49:30,3.44 GB/s
2026-04-27 21:49:45,3.44 GB/s
2026-04-27 21:50:00,2.94 GB/s
2026-04-27 21:50:15,2.94 GB/s
2026-04-27 21:50:30,2.92 GB/s
2026-04-27 21:50:45,2.92 GB/s
2026-04-27 21:51:00,2.91 GB/s
2026-04-27 21:51:15,2.91 GB/s
2026-04-27 21:51:30,3.01 GB/s
2026-04-27 21:51:45,3.01 GB/s
2026-04-27 21:52:00,3.34 GB/s
2026-04-27 21:52:15,3.34 GB/s
2026-04-27 21:52:30,2.97 GB/s
2026-04-27 21:52:45,2.97 GB/s
2026-04-27 21:53:00,2.93 GB/s
2026-04-27 21:53:15,2.93 GB/s
2026-04-27 21:53:30,2.94 GB/s
2026-04-27 21:53:45,2.94 GB/s
2026-04-27 21:54:00,3.33 GB/s
2026-04-27 21:54:15,3.33 GB/s
2026-04-27 21:54:30,2.98 GB/s
2026-04-27 21:54:45,2.98 GB/s
2026-04-27 21:55:00,2.98 GB/s
2026-04-27 21:55:15,2.98 GB/s
2026-04-27 21:55:30,2.96 GB/s
2026-04-27 21:55:45,2.96 GB/s
2026-04-27 21:56:00,3.12 GB/s
2026-04-27 21:56:15,3.12 GB/s
2026-04-27 21:56:30,3.11 GB/s
2026-04-27 21:56:45,3.11 GB/s
2026-04-27 21:57:00,2.99 GB/s
2026-04-27 21:57:15,2.99 GB/s
2026-04-27 21:57:30,2.99 GB/s
2026-04-27 21:57:45,2.99 GB/s
2026-04-27 21:58:00,2.97 GB/s
2026-04-27 21:58:15,2.97 GB/s
2026-04-27 21:58:30,3.32 GB/s
2026-04-27 21:58:45,3.32 GB/s
2026-04-27 21:59:00,2.94 GB/s
2026-04-27 21:59:15,2.94 GB/s
2026-04-27 21:59:30,2.96 GB/s
2026-04-27 21:59:45,2.96 GB/s
2026-04-27 22:00:00,3.00 GB/s
2026-04-27 22:00:15,3.00 GB/s
2026-04-27 22:00:30,3.41 GB/s
2026-04-27 22:00:45,3.41 GB/s
2026-04-27 22:01:00,2.96 GB/s
2026-04-27 22:01:15,2.96 GB/s
2026-04-27 22:01:30,2.93 GB/s
2026-04-27 22:01:45,2.93 GB/s
2026-04-27 22:02:00,2.95 GB/s
2026-04-27 22:02:15,2.95 GB/s
2026-04-27 22:02:30,3.03 GB/s
2026-04-27 22:02:45,3.03 GB/s
2026-04-27 22:03:00,3.44 GB/s
2026-04-27 22:03:15,3.44 GB/s
2026-04-27 22:03:30,2.99 GB/s
2026-04-27 22:03:45,2.99 GB/s
2026-04-27 22:04:00,2.94 GB/s
2026-04-27 22:04:15,2.94 GB/s
2026-04-27 22:04:30,2.92 GB/s
2026-04-27 22:04:45,2.92 GB/s
2026-04-27 22:05:00,3.36 GB/s
2026-04-27 22:05:15,3.36 GB/s
2026-04-27 22:05:30,2.98 GB/s
2026-04-27 22:05:45,2.98 GB/s
2026-04-27 22:06:00,2.98 GB/s
2026-04-27 22:06:15,2.98 GB/s
2026-04-27 22:06:30,2.98 GB/s
2026-04-27 22:06:45,2.98 GB/s
2026-04-27 22:07:00,3.16 GB/s
2026-04-27 22:07:15,3.16 GB/s
2026-04-27 22:07:30,3.10 GB/s
2026-04-27 22:07:45,3.10 GB/s
2026-04-27 22:08:00,2.98 GB/s
2026-04-27 22:08:15,2.98 GB/s
2026-04-27 22:08:30,2.98 GB/s
2026-04-27 22:08:45,2.98 GB/s
2026-04-27 22:09:00,2.98 GB/s
2026-04-27 22:09:15,2.98 GB/s
2026-04-27 22:09:30,2.47 GB/s
2026-04-27 22:09:45,2.47 GB/s
2026-04-27 22:10:00,2.00 kB/s
2026-04-27 22:10:15,2.00 kB/s
2026-04-27 22:10:30,2.00 kB/s
2026-04-27 22:10:45,2.00 kB/s
2026-04-27 22:11:00,2.00 kB/s
2026-04-27 22:11:15,2.00 kB/s
2026-04-27 22:11:30,2.00 kB/s
