"Time","172.212.226.225:9100 eth0 rx"
2026-04-27 20:49:30,75.0 kp/s
2026-04-27 20:49:45,75.0 kp/s
2026-04-27 20:50:00,75.0 kp/s
2026-04-27 20:50:15,75.1 kp/s
2026-04-27 20:50:30,75.1 kp/s
2026-04-27 20:50:45,75.1 kp/s
2026-04-27 20:51:00,75.1 kp/s
2026-04-27 20:51:15,75.1 kp/s
2026-04-27 20:51:30,75.1 kp/s
2026-04-27 20:51:45,75.1 kp/s
2026-04-27 20:52:00,75.1 kp/s
2026-04-27 20:52:15,75.0 kp/s
2026-04-27 20:52:30,75.0 kp/s
2026-04-27 20:52:45,74.9 kp/s
2026-04-27 20:53:00,74.9 kp/s
2026-04-27 20:53:15,74.8 kp/s
2026-04-27 20:53:30,74.8 kp/s
2026-04-27 20:53:45,74.7 kp/s
2026-04-27 20:54:00,74.7 kp/s
2026-04-27 20:54:15,74.6 kp/s
2026-04-27 20:54:30,74.6 kp/s
2026-04-27 20:54:45,74.5 kp/s
2026-04-27 20:55:00,74.4 kp/s
2026-04-27 20:55:15,74.4 kp/s
2026-04-27 20:55:30,74.3 kp/s
2026-04-27 20:55:45,74.3 kp/s
2026-04-27 20:56:00,74.2 kp/s
2026-04-27 20:56:15,74.2 kp/s
2026-04-27 20:56:30,74.2 kp/s
2026-04-27 20:56:45,74.1 kp/s
2026-04-27 20:57:00,74.2 kp/s
2026-04-27 20:57:15,74.2 kp/s
2026-04-27 20:57:30,74.2 kp/s
2026-04-27 20:57:45,74.2 kp/s
2026-04-27 20:58:00,74.2 kp/s
2026-04-27 20:58:15,74.2 kp/s
2026-04-27 20:58:30,74.2 kp/s
2026-04-27 20:58:45,74.2 kp/s
2026-04-27 20:59:00,74.2 kp/s
2026-04-27 20:59:15,74.2 kp/s
2026-04-27 20:59:30,74.2 kp/s
2026-04-27 20:59:45,74.2 kp/s
2026-04-27 21:00:00,74.2 kp/s
2026-04-27 21:00:15,74.2 kp/s
2026-04-27 21:00:30,74.2 kp/s
2026-04-27 21:00:45,74.3 kp/s
2026-04-27 21:01:00,74.2 kp/s
2026-04-27 21:01:15,74.2 kp/s
2026-04-27 21:01:30,74.2 kp/s
2026-04-27 21:01:45,74.2 kp/s
2026-04-27 21:02:00,74.1 kp/s
2026-04-27 21:02:15,74.1 kp/s
2026-04-27 21:02:30,74.2 kp/s
2026-04-27 21:02:45,74.2 kp/s
2026-04-27 21:03:00,74.2 kp/s
2026-04-27 21:03:15,74.2 kp/s
2026-04-27 21:03:30,74.2 kp/s
2026-04-27 21:03:45,74.2 kp/s
2026-04-27 21:04:00,74.2 kp/s
2026-04-27 21:04:15,74.2 kp/s
2026-04-27 21:04:30,74.2 kp/s
2026-04-27 21:04:45,74.2 kp/s
2026-04-27 21:05:00,74.2 kp/s
2026-04-27 21:05:15,74.2 kp/s
2026-04-27 21:05:30,74.2 kp/s
2026-04-27 21:05:45,74.2 kp/s
2026-04-27 21:06:00,74.2 kp/s
2026-04-27 21:06:15,74.2 kp/s
2026-04-27 21:06:30,74.2 kp/s
2026-04-27 21:06:45,74.2 kp/s
2026-04-27 21:07:00,74.2 kp/s
2026-04-27 21:07:15,74.2 kp/s
2026-04-27 21:07:30,74.2 kp/s
2026-04-27 21:07:45,74.2 kp/s
2026-04-27 21:08:00,74.2 kp/s
2026-04-27 21:08:15,74.2 kp/s
2026-04-27 21:08:30,74.2 kp/s
2026-04-27 21:08:45,74.2 kp/s
2026-04-27 21:09:00,74.2 kp/s
2026-04-27 21:09:15,74.2 kp/s
2026-04-27 21:09:30,74.2 kp/s
2026-04-27 21:09:45,74.2 kp/s
2026-04-27 21:10:00,74.2 kp/s
2026-04-27 21:10:15,74.1 kp/s
2026-04-27 21:10:30,74.1 kp/s
2026-04-27 21:10:45,74.1 kp/s
2026-04-27 21:11:00,74.1 kp/s
2026-04-27 21:11:15,74.2 kp/s
2026-04-27 21:11:30,74.2 kp/s
2026-04-27 21:11:45,74.2 kp/s
2026-04-27 21:12:00,74.2 kp/s
2026-04-27 21:12:15,74.2 kp/s
2026-04-27 21:12:30,74.1 kp/s
2026-04-27 21:12:45,74.1 kp/s
2026-04-27 21:13:00,74.1 kp/s
2026-04-27 21:13:15,74.1 kp/s
2026-04-27 21:13:30,74.1 kp/s
2026-04-27 21:13:45,74.1 kp/s
2026-04-27 21:14:00,74.1 kp/s
2026-04-27 21:14:15,74.1 kp/s
2026-04-27 21:14:30,74.2 kp/s
2026-04-27 21:14:45,74.2 kp/s
2026-04-27 21:15:00,74.2 kp/s
2026-04-27 21:15:15,74.2 kp/s
2026-04-27 21:15:30,74.2 kp/s
2026-04-27 21:15:45,74.1 kp/s
2026-04-27 21:16:00,74.1 kp/s
2026-04-27 21:16:15,74.2 kp/s
2026-04-27 21:16:30,74.3 kp/s
2026-04-27 21:16:45,74.3 kp/s
2026-04-27 21:17:00,74.3 kp/s
2026-04-27 21:17:15,74.4 kp/s
2026-04-27 21:17:30,74.4 kp/s
2026-04-27 21:17:45,74.4 kp/s
2026-04-27 21:18:00,74.5 kp/s
2026-04-27 21:18:15,74.5 kp/s
2026-04-27 21:18:30,74.6 kp/s
2026-04-27 21:18:45,74.6 kp/s
2026-04-27 21:19:00,74.7 kp/s
2026-04-27 21:19:15,74.7 kp/s
2026-04-27 21:19:30,74.7 kp/s
2026-04-27 21:19:45,74.7 kp/s
2026-04-27 21:20:00,74.8 kp/s
2026-04-27 21:20:15,74.8 kp/s
2026-04-27 21:20:30,74.9 kp/s
2026-04-27 21:20:45,75.0 kp/s
2026-04-27 21:21:00,75.0 kp/s
2026-04-27 21:21:15,74.9 kp/s
2026-04-27 21:21:30,74.9 kp/s
2026-04-27 21:21:45,75.0 kp/s
2026-04-27 21:22:00,75.0 kp/s
2026-04-27 21:22:15,75.0 kp/s
2026-04-27 21:22:30,75.0 kp/s
2026-04-27 21:22:45,75.0 kp/s
2026-04-27 21:23:00,74.9 kp/s
2026-04-27 21:23:15,74.9 kp/s
2026-04-27 21:23:30,74.9 kp/s
2026-04-27 21:23:45,75.0 kp/s
2026-04-27 21:24:00,75.0 kp/s
2026-04-27 21:24:15,75.1 kp/s
2026-04-27 21:24:30,75.1 kp/s
2026-04-27 21:24:45,75.2 kp/s
2026-04-27 21:25:00,75.2 kp/s
2026-04-27 21:25:15,75.2 kp/s
2026-04-27 21:25:30,75.3 kp/s
2026-04-27 21:25:45,75.2 kp/s
2026-04-27 21:26:00,75.3 kp/s
2026-04-27 21:26:15,75.3 kp/s
2026-04-27 21:26:30,75.3 kp/s
2026-04-27 21:26:45,75.3 kp/s
2026-04-27 21:27:00,75.3 kp/s
2026-04-27 21:27:15,75.3 kp/s
2026-04-27 21:27:30,75.3 kp/s
2026-04-27 21:27:45,75.3 kp/s
2026-04-27 21:28:00,75.2 kp/s
2026-04-27 21:28:15,75.2 kp/s
2026-04-27 21:28:30,75.2 kp/s
2026-04-27 21:28:45,75.2 kp/s
2026-04-27 21:29:00,75.1 kp/s
2026-04-27 21:29:15,75.1 kp/s
2026-04-27 21:29:30,75.1 kp/s
2026-04-27 21:29:45,75.1 kp/s
2026-04-27 21:30:00,75.0 kp/s
2026-04-27 21:30:15,74.9 kp/s
2026-04-27 21:30:30,74.9 kp/s
2026-04-27 21:30:45,74.9 kp/s
2026-04-27 21:31:00,74.9 kp/s
2026-04-27 21:31:15,74.9 kp/s
2026-04-27 21:31:30,74.9 kp/s
2026-04-27 21:31:45,74.9 kp/s
2026-04-27 21:32:00,74.9 kp/s
2026-04-27 21:32:15,74.9 kp/s
2026-04-27 21:32:30,74.9 kp/s
2026-04-27 21:32:45,74.9 kp/s
2026-04-27 21:33:00,74.9 kp/s
2026-04-27 21:33:15,74.9 kp/s
2026-04-27 21:33:30,74.9 kp/s
2026-04-27 21:33:45,74.9 kp/s
2026-04-27 21:34:00,74.9 kp/s
2026-04-27 21:34:15,74.9 kp/s
2026-04-27 21:34:30,74.9 kp/s
2026-04-27 21:34:45,74.9 kp/s
2026-04-27 21:35:00,74.9 kp/s
2026-04-27 21:35:15,74.9 kp/s
2026-04-27 21:35:30,74.9 kp/s
2026-04-27 21:35:45,74.8 kp/s
2026-04-27 21:36:00,74.9 kp/s
2026-04-27 21:36:15,74.8 kp/s
2026-04-27 21:36:30,74.8 kp/s
2026-04-27 21:36:45,74.8 kp/s
2026-04-27 21:37:00,74.8 kp/s
2026-04-27 21:37:15,74.7 kp/s
2026-04-27 21:37:30,74.7 kp/s
2026-04-27 21:37:45,74.6 kp/s
2026-04-27 21:38:00,74.6 kp/s
2026-04-27 21:38:15,74.5 kp/s
2026-04-27 21:38:30,74.5 kp/s
2026-04-27 21:38:45,74.4 kp/s
2026-04-27 21:39:00,74.4 kp/s
2026-04-27 21:39:15,74.4 kp/s
2026-04-27 21:39:30,74.3 kp/s
2026-04-27 21:39:45,74.3 kp/s
2026-04-27 21:40:00,74.3 kp/s
2026-04-27 21:40:15,74.2 kp/s
2026-04-27 21:40:30,74.2 kp/s
2026-04-27 21:40:45,74.1 kp/s
2026-04-27 21:41:00,74.1 kp/s
2026-04-27 21:41:15,74.1 kp/s
2026-04-27 21:41:30,74.1 kp/s
2026-04-27 21:41:45,74.2 kp/s
2026-04-27 21:42:00,74.2 kp/s
2026-04-27 21:42:15,74.2 kp/s
2026-04-27 21:42:30,74.3 kp/s
2026-04-27 21:42:45,74.3 kp/s
2026-04-27 21:43:00,74.3 kp/s
2026-04-27 21:43:15,74.3 kp/s
2026-04-27 21:43:30,74.3 kp/s
2026-04-27 21:43:45,74.2 kp/s
2026-04-27 21:44:00,74.2 kp/s
2026-04-27 21:44:15,74.2 kp/s
2026-04-27 21:44:30,74.2 kp/s
2026-04-27 21:44:45,74.2 kp/s
2026-04-27 21:45:00,74.2 kp/s
2026-04-27 21:45:15,74.2 kp/s
2026-04-27 21:45:30,74.2 kp/s
2026-04-27 21:45:45,74.1 kp/s
2026-04-27 21:46:00,74.1 kp/s
2026-04-27 21:46:15,74.0 kp/s
2026-04-27 21:46:30,74.0 kp/s
2026-04-27 21:46:45,73.9 kp/s
2026-04-27 21:47:00,73.9 kp/s
2026-04-27 21:47:15,73.9 kp/s
2026-04-27 21:47:30,73.9 kp/s
2026-04-27 21:47:45,73.9 kp/s
2026-04-27 21:48:00,73.9 kp/s
2026-04-27 21:48:15,73.9 kp/s
2026-04-27 21:48:30,73.9 kp/s
2026-04-27 21:48:45,73.9 kp/s
2026-04-27 21:49:00,73.9 kp/s
2026-04-27 21:49:15,74.0 kp/s
2026-04-27 21:49:30,74.0 kp/s
2026-04-27 21:49:45,74.0 kp/s
2026-04-27 21:50:00,74.0 kp/s
2026-04-27 21:50:15,74.0 kp/s
2026-04-27 21:50:30,74.0 kp/s
2026-04-27 21:50:45,74.0 kp/s
2026-04-27 21:51:00,74.0 kp/s
2026-04-27 21:51:15,74.1 kp/s
2026-04-27 21:51:30,74.2 kp/s
2026-04-27 21:51:45,74.2 kp/s
2026-04-27 21:52:00,74.2 kp/s
2026-04-27 21:52:15,74.2 kp/s
2026-04-27 21:52:30,74.3 kp/s
2026-04-27 21:52:45,74.3 kp/s
2026-04-27 21:53:00,74.4 kp/s
2026-04-27 21:53:15,74.5 kp/s
2026-04-27 21:53:30,74.5 kp/s
2026-04-27 21:53:45,74.5 kp/s
2026-04-27 21:54:00,74.5 kp/s
2026-04-27 21:54:15,74.6 kp/s
2026-04-27 21:54:30,74.6 kp/s
2026-04-27 21:54:45,74.6 kp/s
2026-04-27 21:55:00,74.7 kp/s
2026-04-27 21:55:15,74.8 kp/s
2026-04-27 21:55:30,74.8 kp/s
2026-04-27 21:55:45,74.9 kp/s
2026-04-27 21:56:00,74.8 kp/s
2026-04-27 21:56:15,74.8 kp/s
2026-04-27 21:56:30,74.8 kp/s
2026-04-27 21:56:45,74.8 kp/s
2026-04-27 21:57:00,74.8 kp/s
2026-04-27 21:57:15,74.9 kp/s
2026-04-27 21:57:30,74.9 kp/s
2026-04-27 21:57:45,74.9 kp/s
2026-04-27 21:58:00,74.9 kp/s
2026-04-27 21:58:15,74.9 kp/s
2026-04-27 21:58:30,74.9 kp/s
2026-04-27 21:58:45,74.9 kp/s
2026-04-27 21:59:00,74.9 kp/s
2026-04-27 21:59:15,75.0 kp/s
2026-04-27 21:59:30,75.2 kp/s
2026-04-27 21:59:45,75.3 kp/s
2026-04-27 22:00:00,75.3 kp/s
2026-04-27 22:00:15,75.3 kp/s
2026-04-27 22:00:30,75.3 kp/s
2026-04-27 22:00:45,75.4 kp/s
2026-04-27 22:01:00,75.4 kp/s
2026-04-27 22:01:15,75.3 kp/s
2026-04-27 22:01:30,75.3 kp/s
2026-04-27 22:01:45,75.3 kp/s
2026-04-27 22:02:00,75.3 kp/s
2026-04-27 22:02:15,75.5 kp/s
2026-04-27 22:02:30,75.6 kp/s
2026-04-27 22:02:45,75.6 kp/s
2026-04-27 22:03:00,75.8 kp/s
2026-04-27 22:03:15,76.0 kp/s
2026-04-27 22:03:30,76.0 kp/s
2026-04-27 22:03:45,76.0 kp/s
2026-04-27 22:04:00,75.8 kp/s
2026-04-27 22:04:15,75.7 kp/s
2026-04-27 22:04:30,75.6 kp/s
2026-04-27 22:04:45,75.6 kp/s
2026-04-27 22:05:00,75.6 kp/s
2026-04-27 22:05:15,75.6 kp/s
2026-04-27 22:05:30,75.5 kp/s
2026-04-27 22:05:45,75.5 kp/s
2026-04-27 22:06:00,75.5 kp/s
2026-04-27 22:06:15,75.7 kp/s
2026-04-27 22:06:30,75.9 kp/s
2026-04-27 22:06:45,75.8 kp/s
2026-04-27 22:07:00,75.6 kp/s
2026-04-27 22:07:15,75.5 kp/s
2026-04-27 22:07:30,75.5 kp/s
2026-04-27 22:07:45,75.3 kp/s
2026-04-27 22:08:00,75.2 kp/s
2026-04-27 22:08:15,75.2 kp/s
2026-04-27 22:08:30,75.2 kp/s
2026-04-27 22:08:45,75.2 kp/s
2026-04-27 22:09:00,75.2 kp/s
2026-04-27 22:09:15,74.3 kp/s
2026-04-27 22:09:30,70.4 kp/s
2026-04-27 22:09:45,66.4 kp/s
2026-04-27 22:10:00,62.5 kp/s
